Onset,Duration,Annotation
+119.4332,,normal beat
+120.2971,,normal beat
+121.1194,,normal beat
+121.9221,,normal beat
+122.6999,,normal beat
+123.4860,,normal beat
+124.2860,,normal beat
+125.0832,,normal beat
+125.8971,,normal beat
+126.7444,,normal beat
+127.5694,,normal beat
+128.3444,,normal beat
+129.1055,,normal beat
+129.8860,,normal beat
+130.6582,,normal beat
+131.4832,,normal beat
+132.3110,,normal beat
+133.1082,,normal beat
+133.8944,,normal beat
+134.6832,,normal beat
+135.4610,,normal beat
+136.2221,,normal beat
+137.0082,,normal beat
+137.8277,,normal beat
+138.6749,,normal beat
+139.4832,,normal beat
+140.2527,,normal beat
+141.0305,,normal beat
+141.8221,,normal beat
+142.6082,,normal beat
+143.4055,,normal beat
+144.2249,,normal beat
+145.0444,,normal beat
+145.8499,,normal beat
+146.6221,,normal beat
+147.3971,,normal beat
+148.1694,,normal beat
+148.9749,,normal beat
+149.7860,,normal beat
+150.6082,,normal beat
+151.4082,,normal beat
+152.1777,,normal beat
+152.9555,,normal beat
+153.7305,,normal beat
+154.5138,,normal beat
+155.2999,,normal beat
+156.1305,,normal beat
+156.9499,,normal beat
+157.7332,,normal beat
+158.4860,,normal beat
+159.2582,,normal beat
+160.0416,,normal beat
+160.8332,,normal beat
+161.6443,,normal beat
+162.4721,,normal beat
+163.2999,,normal beat
+164.1027,,normal beat
+164.8721,,normal beat
+165.6416,,normal beat
+166.4416,,normal beat
+167.2610,,normal beat
+168.0971,,normal beat
+168.9360,,normal beat
+169.7360,,normal beat
+170.5305,,normal beat
+171.3332,,normal beat
+172.1193,,normal beat
+172.9082,,normal beat
+173.7416,,normal beat
+174.5888,,normal beat
+175.4277,,normal beat
+176.2166,,normal beat
+176.9749,,normal beat
+177.7721,,normal beat
+178.5777,,normal beat
+179.3916,,normal beat
+180.2110,,normal beat
+181.0388,,normal beat
+181.8443,,normal beat
+182.6388,,normal beat
+183.4166,,normal beat
+184.1860,,normal beat
+185.0110,,normal beat
+185.5332,,atrial premature contraction
+186.4721,,normal beat
+187.3166,,normal beat
+188.1332,,normal beat
+188.9082,,normal beat
+189.7277,,normal beat
+190.5388,,normal beat
+191.3499,,normal beat
+192.1971,,normal beat
+193.0638,,normal beat
+193.8777,,normal beat
+194.6471,,normal beat
+195.4360,,normal beat
+196.2305,,normal beat
+197.0582,,normal beat
+197.8888,,normal beat
+198.7193,,normal beat
+199.5693,,normal beat
+200.3832,,normal beat
+201.1582,,normal beat
+201.9527,,normal beat
+202.7721,,normal beat
+203.6138,,normal beat
+204.4749,,normal beat
+205.3082,,normal beat
+206.0999,,normal beat
+206.8971,,normal beat
+207.6860,,normal beat
+208.2943,,atrial premature contraction
+209.2554,,normal beat
+210.0888,,normal beat
+210.9277,,normal beat
+211.7582,,normal beat
+212.5416,,normal beat
+213.2916,,normal beat
+214.0943,,normal beat
+214.9054,,normal beat
+215.7304,,normal beat
+216.5388,,normal beat
+217.3638,,normal beat
+218.1638,,normal beat
+218.9554,,normal beat
+219.7221,,normal beat
+220.5166,,normal beat
+221.3582,,normal beat
+222.1971,,normal beat
+223.0277,,normal beat
+223.8416,,normal beat
+224.6332,,normal beat
+225.4221,,normal beat
+226.2193,,normal beat
+227.0277,,normal beat
+227.8610,,normal beat
+228.7082,,normal beat
+229.5443,,normal beat
+230.3527,,normal beat
+231.1360,,normal beat
+231.9221,,normal beat
+232.7610,,normal beat
+233.6193,,normal beat
+234.4638,,normal beat
+235.3027,,normal beat
+236.1388,,normal beat
+236.9527,,normal beat
+237.7221,,normal beat
+238.5277,,normal beat
+239.3638,,normal beat
+240.2165,,normal beat
+241.0554,,normal beat
+241.8860,,normal beat
+242.6777,,normal beat
+243.4777,,normal beat
+244.2804,,normal beat
+245.0888,,normal beat
+245.9165,,normal beat
+246.7610,,normal beat
+247.5971,,normal beat
+248.3915,,normal beat
+249.1749,,normal beat
+249.9665,,normal beat
+250.7943,,normal beat
+251.6388,,normal beat
+252.4582,,normal beat
+253.3054,,normal beat
+254.1138,,normal beat
+254.8915,,normal beat
+255.6832,,normal beat
+256.4943,,normal beat
+257.3138,,normal beat
+258.1777,,normal beat
+259.0165,,normal beat
+259.8165,,normal beat
+260.6221,,normal beat
+261.3943,,normal beat
+262.2082,,normal beat
+263.0360,,normal beat
+263.8777,,normal beat
+264.7165,,normal beat
+265.5721,,normal beat
+266.3693,,normal beat
+267.1415,,normal beat
+267.9165,,normal beat
+268.7388,,normal beat
+269.5832,,normal beat
+270.4110,,normal beat
+271.2332,,normal beat
+272.0443,,normal beat
+272.8554,,normal beat
+273.6332,,normal beat
+274.4138,,normal beat
+275.2332,,normal beat
+276.0610,,normal beat
+276.6082,,atrial premature contraction
+277.5832,,normal beat
+278.3832,,normal beat
+279.1554,,normal beat
+279.9471,,normal beat
+280.7526,,normal beat
+281.5582,,normal beat
+282.3693,,normal beat
+283.1693,,normal beat
+283.9832,,normal beat
+284.7665,,normal beat
+285.5360,,normal beat
+286.3165,,normal beat
+287.1415,,normal beat
+287.9693,,normal beat
+288.7888,,normal beat
+289.6138,,normal beat
+290.4026,,normal beat
+291.1943,,normal beat
+291.9943,,normal beat
+292.7971,,normal beat
+293.6304,,normal beat
+294.4860,,normal beat
+295.3165,,normal beat
+296.1110,,normal beat
+296.8943,,normal beat
+297.6638,,normal beat
+298.4804,,normal beat
+299.3054,,normal beat
+300.1249,,normal beat
+300.9499,,normal beat
+301.7860,,normal beat
+302.5721,,normal beat
+303.3304,,normal beat
+304.1276,,normal beat
+304.9221,,normal beat
+305.7665,,normal beat
+306.5943,,normal beat
+307.4249,,normal beat
+308.2304,,normal beat
+309.0110,,normal beat
+309.7888,,normal beat
+310.5832,,normal beat
+311.4110,,normal beat
+312.2360,,normal beat
+313.0832,,normal beat
+313.8888,,normal beat
+314.6693,,normal beat
+315.4499,,normal beat
+316.2499,,normal beat
+317.0610,,normal beat
+317.8554,,normal beat
+318.6554,,normal beat
+319.4443,,normal beat
+320.2221,,normal beat
+320.9637,,normal beat
+321.7082,,normal beat
+322.4554,,normal beat
+323.2471,,normal beat
+324.0387,,normal beat
+324.8304,,normal beat
+325.5915,,normal beat
+326.3721,,normal beat
+327.1276,,normal beat
+327.8999,,normal beat
+328.6749,,normal beat
+329.4637,,normal beat
+330.3082,,normal beat
+331.1526,,normal beat
+331.9693,,normal beat
+332.7526,,normal beat
+333.5471,,normal beat
+334.3776,,normal beat
+335.2110,,normal beat
+336.0832,,normal beat
+336.9443,,normal beat
+337.7887,,normal beat
+338.5804,,normal beat
+339.3610,,normal beat
+340.1665,,normal beat
+340.9721,,normal beat
+341.8054,,normal beat
+342.6665,,normal beat
+343.5110,,normal beat
+344.2665,,normal beat
+345.0582,,normal beat
+345.8526,,normal beat
+346.5971,,normal beat
+347.3887,,normal beat
+348.2082,,normal beat
+349.0221,,normal beat
+349.7943,,normal beat
+350.5637,,normal beat
+351.3221,,normal beat
+352.0721,,normal beat
+352.8471,,normal beat
+353.6471,,normal beat
+354.4526,,normal beat
+355.2554,,normal beat
+355.7915,,atrial premature contraction
+356.7304,,normal beat
+357.4943,,normal beat
+358.2165,,normal beat
+358.9721,,normal beat
+359.7748,,normal beat
+360.5498,,normal beat
+361.2693,,normal beat
+361.9943,,normal beat
+362.6887,,normal beat
+363.3832,,normal beat
+364.0915,,normal beat
+364.7943,,normal beat
+365.5110,,normal beat
+366.2526,,normal beat
+367.0054,,normal beat
+367.7248,,normal beat
+368.4137,,normal beat
+369.1193,,normal beat
+369.8110,,normal beat
+370.5276,,normal beat
+371.2832,,normal beat
+372.0360,,normal beat
+372.7693,,normal beat
+373.5082,,normal beat
+374.2693,,normal beat
+374.9721,,normal beat
+375.6748,,normal beat
+376.3998,,normal beat
+377.1665,,normal beat
+377.9471,,normal beat
+378.7498,,normal beat
+379.5276,,normal beat
+380.2748,,normal beat
+381.0276,,normal beat
+381.8026,,normal beat
+382.5804,,normal beat
+383.3554,,normal beat
+384.1776,,normal beat
+384.9943,,normal beat
+385.7998,,normal beat
+386.5665,,normal beat
+387.3332,,normal beat
+388.1082,,normal beat
+388.9137,,normal beat
+389.7276,,normal beat
+390.5526,,normal beat
+391.3360,,normal beat
+392.0887,,normal beat
+392.8415,,normal beat
+393.5665,,normal beat
+394.2860,,normal beat
+395.0193,,normal beat
+395.7748,,normal beat
+396.5193,,normal beat
+397.2498,,normal beat
+397.9582,,normal beat
+398.6526,,normal beat
+399.3498,,normal beat
+400.0693,,normal beat
+400.7943,,normal beat
+401.5471,,normal beat
+402.3109,,normal beat
+403.0859,,normal beat
+403.8359,,normal beat
+404.5748,,normal beat
+405.2832,,normal beat
+406.0276,,normal beat
+406.7915,,normal beat
+407.6026,,normal beat
+408.3693,,normal beat
+409.1387,,normal beat
+409.9026,,normal beat
+410.6443,,normal beat
+411.3859,,normal beat
+412.1193,,normal beat
+412.8804,,normal beat
+413.6554,,normal beat
+414.4554,,normal beat
+415.2443,,normal beat
+416.0221,,normal beat
+416.7498,,normal beat
+417.5082,,normal beat
+418.2637,,normal beat
+419.0248,,normal beat
+419.7832,,normal beat
+420.5748,,normal beat
+421.3887,,normal beat
+422.1498,,normal beat
+422.8804,,normal beat
+423.6387,,normal beat
+424.3915,,normal beat
+425.1859,,normal beat
+426.0054,,normal beat
+426.7887,,normal beat
+427.5609,,normal beat
+428.3137,,normal beat
+429.0832,,normal beat
+429.8359,,normal beat
+430.5804,,normal beat
+431.3637,,normal beat
+432.1887,,normal beat
+432.9582,,normal beat
+433.6998,,normal beat
+434.4304,,normal beat
+435.1332,,normal beat
+435.8498,,normal beat
+436.5776,,normal beat
+437.3054,,normal beat
+438.0415,,normal beat
+438.7776,,normal beat
+439.5359,,normal beat
+440.2470,,normal beat
+440.9165,,normal beat
+441.5943,,normal beat
+442.2915,,normal beat
+442.9970,,normal beat
+443.7165,,normal beat
+444.4470,,normal beat
+445.1665,,normal beat
+445.8526,,normal beat
+446.5415,,normal beat
+447.2359,,normal beat
+447.9276,,normal beat
+448.6082,,normal beat
+449.3443,,normal beat
+450.0970,,normal beat
+450.8554,,normal beat
+451.5915,,normal beat
+452.3193,,normal beat
+453.0359,,normal beat
+453.7832,,normal beat
+454.5248,,normal beat
+455.2748,,normal beat
+456.0609,,normal beat
+456.8359,,normal beat
+457.5859,,normal beat
+458.3082,,normal beat
+459.0165,,normal beat
+459.7193,,normal beat
+460.4332,,normal beat
+461.1998,,normal beat
+461.9470,,normal beat
+462.6943,,normal beat
+463.4470,,normal beat
+464.1970,,normal beat
+464.9193,,normal beat
+465.6693,,normal beat
+466.4220,,normal beat
+467.1970,,normal beat
+468.0109,,normal beat
+468.8443,,normal beat
+469.6498,,normal beat
+470.4137,,normal beat
+471.1915,,normal beat
+471.9637,,normal beat
+472.7804,,normal beat
+473.5970,,normal beat
+474.2193,,atrial premature contraction
+475.2054,,normal beat
+476.0304,,normal beat
+476.8109,,normal beat
+477.5581,,normal beat
+478.3304,,normal beat
+479.1137,,normal beat
+479.9331,,normal beat
+480.7415,,normal beat
+481.5304,,normal beat
+482.3026,,normal beat
+483.0748,,normal beat
+483.8220,,normal beat
+484.5859,,normal beat
+485.3804,,normal beat
+486.1748,,normal beat
+487.0081,,normal beat
+487.7998,,normal beat
+488.5470,,normal beat
+489.2915,,normal beat
+490.0748,,normal beat
+490.8276,,normal beat
+491.5970,,normal beat
+492.3554,,normal beat
+493.1193,,normal beat
+493.8804,,normal beat
+494.6081,,normal beat
+495.3220,,normal beat
+496.0498,,normal beat
+496.7804,,normal beat
+497.5470,,normal beat
+498.2998,,normal beat
+499.0609,,normal beat
+499.7970,,normal beat
+500.5054,,normal beat
+501.2304,,normal beat
+501.9581,,normal beat
+502.6776,,normal beat
+503.4331,,normal beat
+504.2304,,normal beat
+505.0304,,normal beat
+505.7887,,normal beat
+506.5359,,normal beat
+507.2887,,normal beat
+508.0443,,normal beat
+508.8359,,normal beat
+509.6526,,normal beat
+510.4943,,normal beat
+511.3081,,normal beat
+512.1137,,normal beat
+512.9137,,normal beat
+513.7026,,normal beat
+514.4804,,normal beat
+515.3054,,normal beat
+516.1887,,normal beat
+517.0470,,normal beat
+517.8554,,normal beat
+518.6581,,normal beat
+519.4581,,normal beat
+520.2526,,normal beat
+521.0470,,normal beat
+521.8665,,normal beat
+522.7192,,normal beat
+523.5581,,normal beat
+524.3415,,normal beat
+525.1192,,normal beat
+525.9165,,normal beat
+526.7331,,normal beat
+527.5804,,normal beat
+528.4109,,normal beat
+529.2470,,normal beat
+530.0554,,normal beat
+530.8665,,normal beat
+531.6526,,normal beat
+532.4276,,normal beat
+533.2692,,normal beat
+534.1137,,normal beat
+534.9304,,normal beat
+535.7276,,normal beat
+536.5165,,normal beat
+537.2859,,normal beat
+538.0637,,normal beat
+538.8720,,normal beat
+539.6692,,normal beat
+540.4831,,normal beat
+541.2998,,normal beat
+542.0998,,normal beat
+542.8498,,normal beat
+543.6137,,normal beat
+544.3831,,normal beat
+545.1887,,normal beat
+545.9998,,normal beat
+546.7970,,normal beat
+547.5887,,normal beat
+548.3720,,normal beat
+549.1248,,normal beat
+549.8609,,normal beat
+550.6220,,normal beat
+551.3998,,normal beat
+552.1970,,normal beat
+552.9859,,normal beat
+553.7581,,normal beat
+554.4970,,normal beat
+555.2609,,normal beat
+556.0026,,normal beat
+556.7609,,normal beat
+557.5387,,normal beat
+558.3137,,normal beat
+559.0859,,normal beat
+559.8470,,normal beat
+560.5720,,normal beat
+561.2970,,normal beat
+562.0526,,normal beat
+562.8165,,normal beat
+563.5998,,normal beat
+564.3942,,normal beat
+565.1887,,normal beat
+565.9470,,normal beat
+566.7248,,normal beat
+567.4970,,normal beat
+568.2609,,normal beat
+569.0387,,normal beat
+569.8831,,normal beat
+570.7192,,normal beat
+571.4915,,normal beat
+572.2665,,normal beat
+573.0220,,normal beat
+573.7970,,normal beat
+574.5665,,normal beat
+575.3609,,normal beat
+576.1692,,normal beat
+577.0109,,normal beat
+577.7887,,normal beat
+578.5470,,normal beat
+579.2998,,normal beat
+580.0609,,normal beat
+580.8331,,normal beat
+581.6442,,normal beat
+582.4526,,normal beat
+583.2581,,normal beat
+584.0442,,normal beat
+584.8165,,normal beat
+585.5803,,normal beat
+586.3470,,normal beat
+587.1220,,normal beat
+587.9276,,normal beat
+588.7526,,normal beat
+589.5220,,normal beat
+590.2831,,normal beat
+591.0470,,normal beat
+591.8276,,normal beat
+592.5720,,normal beat
+593.3498,,normal beat
+594.1498,,normal beat
+594.9470,,normal beat
+595.7359,,normal beat
+596.4942,,normal beat
+597.2359,,normal beat
+597.9998,,normal beat
+598.7859,,normal beat
+599.5831,,normal beat
+600.3914,,normal beat
+601.1970,,normal beat
+601.9720,,normal beat
+602.7498,,normal beat
+603.5220,,normal beat
+604.2970,,normal beat
+605.0664,,normal beat
+605.8942,,normal beat
+606.7109,,normal beat
+607.5081,,normal beat
+608.2553,,normal beat
+609.0164,,normal beat
+609.8026,,normal beat
+610.5914,,normal beat
+611.3831,,normal beat
+612.1970,,normal beat
+613.0303,,normal beat
+613.8248,,normal beat
+614.5887,,normal beat
+615.3526,,normal beat
+616.1220,,normal beat
+616.8914,,normal beat
+617.7081,,normal beat
+618.5164,,normal beat
+619.3081,,normal beat
+620.0748,,normal beat
+620.8526,,normal beat
+621.6192,,normal beat
+622.3526,,normal beat
+623.1331,,normal beat
+623.9470,,normal beat
+624.7637,,normal beat
+625.5414,,normal beat
+626.3109,,normal beat
+627.0637,,normal beat
+627.8442,,normal beat
+628.5998,,normal beat
+629.3692,,normal beat
+630.1748,,normal beat
+630.9553,,normal beat
+631.7414,,normal beat
+632.5053,,normal beat
+633.2637,,normal beat
+633.9942,,normal beat
+634.7664,,normal beat
+635.5775,,normal beat
+636.3720,,normal beat
+637.1553,,normal beat
+637.9442,,normal beat
+638.7109,,normal beat
+639.4831,,normal beat
+640.2359,,normal beat
+641.0025,,normal beat
+641.8275,,normal beat
+642.6581,,normal beat
+643.4387,,normal beat
+644.2025,,normal beat
+644.9720,,normal beat
+645.7192,,normal beat
+646.4775,,normal beat
+647.2664,,normal beat
+648.0581,,normal beat
+648.8553,,normal beat
+649.6525,,normal beat
+650.4192,,normal beat
+651.1525,,normal beat
+651.8998,,normal beat
+652.6637,,normal beat
+653.4692,,normal beat
+654.2970,,normal beat
+655.0775,,normal beat
+655.8553,,normal beat
+656.6387,,normal beat
+657.3998,,normal beat
+658.1303,,normal beat
+658.9025,,normal beat
+659.7081,,normal beat
+660.5081,,normal beat
+661.3053,,normal beat
+662.0637,,normal beat
+662.8053,,normal beat
+663.5664,,normal beat
+664.3248,,normal beat
+665.0914,,normal beat
+665.8803,,normal beat
+666.6553,,normal beat
+667.4053,,normal beat
+668.1692,,normal beat
+668.9137,,normal beat
+669.6248,,normal beat
+670.3275,,normal beat
+671.0775,,normal beat
+671.8192,,normal beat
+672.5387,,normal beat
+673.2581,,normal beat
+673.9775,,normal beat
+674.6636,,normal beat
+675.3664,,normal beat
+676.0775,,normal beat
+676.7859,,normal beat
+677.5220,,normal beat
+678.3081,,normal beat
+679.0581,,normal beat
+679.8025,,normal beat
+680.5109,,normal beat
+681.2386,,normal beat
+681.9859,,normal beat
+682.7525,,normal beat
+683.5136,,normal beat
+684.3109,,normal beat
+685.1303,,normal beat
+685.9303,,normal beat
+686.6692,,normal beat
+687.4136,,normal beat
+688.1720,,normal beat
+688.9359,,normal beat
+689.7220,,normal beat
+690.5164,,normal beat
+691.3275,,normal beat
+692.1053,,normal beat
+692.8692,,normal beat
+693.6275,,normal beat
+694.4109,,normal beat
+695.2025,,normal beat
+695.9942,,normal beat
+696.8275,,normal beat
+697.6664,,normal beat
+698.4470,,normal beat
+699.1942,,normal beat
+699.9831,,normal beat
+700.7914,,normal beat
+701.6220,,normal beat
+702.4109,,normal beat
+703.2192,,normal beat
+704.0442,,normal beat
+704.8359,,normal beat
+705.5831,,normal beat
+706.3386,,normal beat
+707.1803,,normal beat
+708.0303,,normal beat
+708.8053,,normal beat
+709.5914,,normal beat
+710.3831,,normal beat
+711.1859,,normal beat
+711.9303,,normal beat
+712.6998,,normal beat
+713.4998,,normal beat
+714.3247,,normal beat
+715.1081,,normal beat
+715.8609,,normal beat
+716.5720,,normal beat
+717.2942,,normal beat
+717.9942,,normal beat
+718.7136,,normal beat
+719.4581,,normal beat
+720.2220,,normal beat
+720.9470,,normal beat
+721.6970,,normal beat
+722.4331,,normal beat
+723.1497,,normal beat
+723.8470,,normal beat
+724.5886,,normal beat
+725.3664,,normal beat
+726.1581,,normal beat
+726.9164,,normal beat
+727.6886,,normal beat
+728.4470,,normal beat
+729.2109,,normal beat
+729.9692,,normal beat
+730.7275,,normal beat
+731.5275,,normal beat
+732.3359,,normal beat
+733.1414,,normal beat
+733.9359,,normal beat
+734.7192,,normal beat
+735.4775,,normal beat
+736.2831,,normal beat
+737.0942,,normal beat
+737.9192,,normal beat
+738.7414,,normal beat
+739.5497,,normal beat
+740.3553,,normal beat
+741.1525,,normal beat
+741.9414,,normal beat
+742.7081,,normal beat
+743.5525,,normal beat
+744.3831,,normal beat
+745.1664,,normal beat
+745.9553,,normal beat
+746.7303,,normal beat
+747.5053,,normal beat
+748.2886,,normal beat
+749.0803,,normal beat
+749.8886,,normal beat
+750.7136,,normal beat
+751.5275,,normal beat
+752.2803,,normal beat
+753.0386,,normal beat
+753.8053,,normal beat
+754.5997,,normal beat
+755.4220,,normal beat
+756.2331,,normal beat
+757.0358,,normal beat
+757.8858,,normal beat
+758.6747,,normal beat
+759.4275,,normal beat
+760.2081,,normal beat
+761.0192,,normal beat
+761.8442,,normal beat
+762.6664,,normal beat
+763.4775,,normal beat
+764.2525,,normal beat
+765.0081,,normal beat
+765.7525,,normal beat
+766.5247,,normal beat
+767.3192,,normal beat
+768.0997,,normal beat
+768.8997,,normal beat
+769.7275,,normal beat
+770.5220,,normal beat
+771.2470,,normal beat
+772.0081,,normal beat
+772.8081,,normal beat
+773.6608,,normal beat
+774.4831,,normal beat
+775.2720,,normal beat
+776.0608,,normal beat
+776.5997,,atrial premature contraction
+777.5497,,normal beat
+778.3581,,normal beat
+779.1970,,normal beat
+780.0386,,normal beat
+780.8608,,normal beat
+781.6720,,normal beat
+782.4497,,normal beat
+783.2081,,normal beat
+783.9775,,normal beat
+784.7581,,normal beat
+785.5581,,normal beat
+786.3775,,normal beat
+787.1914,,normal beat
+787.9775,,normal beat
+788.7331,,normal beat
+789.4886,,normal beat
+790.2525,,normal beat
+791.0497,,normal beat
+791.8692,,normal beat
+792.6747,,normal beat
+793.4803,,normal beat
+794.2664,,normal beat
+795.0275,,normal beat
+795.7942,,normal beat
+796.5636,,normal beat
+797.3636,,normal beat
+798.2025,,normal beat
+799.0414,,normal beat
+799.8442,,normal beat
+800.6247,,normal beat
+801.4053,,normal beat
+802.1997,,normal beat
+802.9886,,normal beat
+803.8136,,normal beat
+804.6303,,normal beat
+805.4747,,normal beat
+806.2692,,normal beat
+807.0497,,normal beat
+807.8136,,normal beat
+808.6358,,normal beat
+809.4636,,normal beat
+810.2664,,normal beat
+811.0831,,normal beat
+811.8914,,normal beat
+812.6831,,normal beat
+813.4553,,normal beat
+814.2303,,normal beat
+815.0303,,normal beat
+815.8664,,normal beat
+816.6969,,normal beat
+817.4886,,normal beat
+818.2803,,normal beat
+819.0469,,normal beat
+819.8386,,normal beat
+820.6136,,normal beat
+821.4358,,normal beat
+822.2581,,normal beat
+823.1081,,normal beat
+823.9192,,normal beat
+824.6914,,normal beat
+825.4692,,normal beat
+826.2497,,normal beat
+827.0497,,normal beat
+827.8664,,normal beat
+828.7053,,normal beat
+829.5192,,normal beat
+830.3331,,normal beat
+831.1275,,normal beat
+831.8969,,normal beat
+832.6553,,normal beat
+833.4747,,normal beat
+834.3330,,normal beat
+835.1719,,normal beat
+835.9442,,normal beat
+836.6942,,normal beat
+837.4830,,normal beat
+838.2803,,normal beat
+839.0636,,normal beat
+839.8525,,normal beat
+840.6775,,normal beat
+841.5192,,normal beat
+842.3330,,normal beat
+843.0636,,normal beat
+843.8136,,normal beat
+844.6247,,normal beat
+845.4469,,normal beat
+846.2192,,normal beat
+847.0080,,normal beat
+847.8080,,normal beat
+848.6025,,normal beat
+849.1914,,atrial premature contraction
+850.0969,,normal beat
+850.9358,,normal beat
+851.7803,,normal beat
+852.6192,,normal beat
+853.4275,,normal beat
+854.2053,,normal beat
+854.8469,,atrial premature contraction
+855.7275,,normal beat
+856.5247,,normal beat
+857.2914,,normal beat
+858.0886,,normal beat
+858.9330,,normal beat
+859.7636,,normal beat
+860.4997,,normal beat
+861.2553,,normal beat
+862.0330,,normal beat
+862.8497,,normal beat
+863.6497,,normal beat
+864.4414,,normal beat
+865.2442,,normal beat
+866.0636,,normal beat
+866.8386,,normal beat
+867.5747,,normal beat
+868.3469,,normal beat
+868.9580,,atrial premature contraction
+869.9803,,normal beat
+870.8553,,normal beat
+871.6886,,normal beat
+872.4719,,normal beat
+873.2580,,normal beat
+874.0664,,normal beat
+874.8664,,normal beat
+875.6803,,normal beat
+876.5025,,normal beat
+877.3414,,normal beat
+878.1553,,normal beat
+878.9303,,normal beat
+879.7025,,normal beat
+880.4997,,normal beat
+881.2941,,normal beat
+882.1108,,normal beat
+882.7358,,atrial premature contraction
+883.7358,,normal beat
+884.5497,,normal beat
+885.3580,,normal beat
+886.1414,,normal beat
+886.7303,,atrial premature contraction
+887.7386,,normal beat
+888.6219,,normal beat
+889.4580,,normal beat
+890.2580,,normal beat
+891.0719,,normal beat
+891.8664,,normal beat
+892.6969,,normal beat
+893.5080,,normal beat
+894.3553,,normal beat
+895.2080,,normal beat
+896.0358,,normal beat
+896.8219,,normal beat
+897.6053,,normal beat
+898.4025,,normal beat
+899.2497,,normal beat
+900.1219,,normal beat
+900.9441,,normal beat
+901.7803,,normal beat
+902.5803,,normal beat
+903.3747,,normal beat
+904.1525,,normal beat
+904.9497,,normal beat
+905.7997,,normal beat
+906.6525,,normal beat
+907.4941,,normal beat
+908.2941,,normal beat
+909.0997,,normal beat
+909.9053,,normal beat
+910.7164,,normal beat
+911.5247,,normal beat
+912.3664,,normal beat
+913.2025,,normal beat
+914.0441,,normal beat
